file,idx,race,identity
000065.jpg,0,Asian,3046
000088.jpg,1,Asian,5578
000177.jpg,2,Asian,9341
000208.jpg,3,Asian,846
000211.jpg,4,Asian,1817
000220.jpg,5,Asian,4288
000289.jpg,6,Asian,2150
000312.jpg,7,Asian,128
000331.jpg,8,Asian,8469
000342.jpg,9,Asian,7177
000361.jpg,10,Asian,9886
000412.jpg,11,Asian,147
000415.jpg,12,Asian,3023
000416.jpg,13,Asian,3501
000507.jpg,14,Asian,8800
000564.jpg,8,Asian,8469
000589.jpg,15,Asian,1725
000627.jpg,16,Asian,1811
000631.jpg,17,Asian,5235
000649.jpg,18,Asian,5341
000666.jpg,7,Asian,128
000668.jpg,19,Asian,9023
000682.jpg,20,Asian,3981
000717.jpg,21,Asian,6286
000748.jpg,22,Asian,3920
000799.jpg,23,Asian,665
000830.jpg,24,Asian,4166
000936.jpg,25,Asian,10080
001003.jpg,16,Asian,1811
001017.jpg,26,Asian,3839
001180.jpg,27,Asian,6921
001182.jpg,28,Asian,10057
001197.jpg,8,Asian,8469
001249.jpg,29,Asian,5422
001264.jpg,20,Asian,3981
001282.jpg,30,Asian,10089
001317.jpg,31,Asian,5447
001329.jpg,32,Asian,1808
001330.jpg,33,Asian,6971
001350.jpg,34,Asian,4014
001365.jpg,35,Asian,10082
001402.jpg,36,Asian,10093
001466.jpg,37,Asian,4287
001477.jpg,38,Asian,5741
001487.jpg,19,Asian,9023
001514.jpg,39,Asian,8819
001539.jpg,40,Asian,10145
001551.jpg,41,Asian,3916
001580.jpg,42,Asian,1875
001637.jpg,43,Asian,8566
001646.jpg,35,Asian,10082
001710.jpg,44,Asian,3735
001728.jpg,45,Asian,7381
001743.jpg,46,Asian,10084
001756.jpg,47,Asian,1763
001762.jpg,16,Asian,1811
001821.jpg,11,Asian,147
001825.jpg,48,Asian,6875
001874.jpg,49,Asian,4761
001893.jpg,50,Asian,1833
001951.jpg,51,Asian,5069
002070.jpg,19,Asian,9023
002076.jpg,39,Asian,8819
002079.jpg,52,Asian,8940
002080.jpg,53,Asian,5291
002101.jpg,54,Asian,3853
002113.jpg,55,Asian,1509
002123.jpg,56,Asian,7469
002196.jpg,57,Asian,5747
002247.jpg,58,Asian,3693
002249.jpg,59,Asian,1223
002319.jpg,60,Asian,3923
002337.jpg,29,Asian,5422
002371.jpg,61,Asian,5050
002372.jpg,62,Asian,3982
002377.jpg,53,Asian,5291
002378.jpg,63,Asian,4582
002451.jpg,64,Asian,7989
002457.jpg,65,Asian,10041
002514.jpg,66,Asian,6188
002520.jpg,67,Asian,9915
002536.jpg,68,Asian,2221
002560.jpg,69,Asian,8889
002575.jpg,70,Asian,1264
002669.jpg,71,Asian,10086
002701.jpg,22,Asian,3920
002721.jpg,36,Asian,10093
002759.jpg,72,Asian,6862
002778.jpg,24,Asian,4166
002802.jpg,73,Asian,963
002806.jpg,74,Asian,10085
002879.jpg,75,Asian,8468
002972.jpg,76,Asian,9135
003014.jpg,71,Asian,10086
003058.jpg,77,Asian,574
003135.jpg,44,Asian,3735
003143.jpg,78,Asian,6633
003168.jpg,9,Asian,7177
003180.jpg,79,Asian,3024
003189.jpg,80,Asian,6856
003217.jpg,19,Asian,9023
003240.jpg,54,Asian,3853
003243.jpg,81,Asian,8920
003250.jpg,48,Asian,6875
003256.jpg,53,Asian,5291
003304.jpg,82,Asian,5491
003351.jpg,52,Asian,8940
003383.jpg,79,Asian,3024
003488.jpg,83,Asian,10061
003525.jpg,84,Asian,2015
003537.jpg,33,Asian,6971
003581.jpg,21,Asian,6286
003634.jpg,5,Asian,4288
003640.jpg,25,Asian,10080
003689.jpg,75,Asian,8468
003703.jpg,85,Asian,9091
003776.jpg,77,Asian,574
003800.jpg,86,Asian,4639
003809.jpg,87,Asian,5549
003865.jpg,88,Asian,8078
003888.jpg,89,Asian,1821
003917.jpg,90,Asian,934
003952.jpg,13,Asian,3501
003982.jpg,41,Asian,3916
004061.jpg,35,Asian,10082
004077.jpg,91,Asian,6925
004137.jpg,92,Asian,2907
004143.jpg,58,Asian,3693
004152.jpg,93,Asian,8644
004199.jpg,94,Asian,5562
004269.jpg,95,Asian,9984
004315.jpg,48,Asian,6875
004321.jpg,96,Asian,3959
004383.jpg,73,Asian,963
004441.jpg,97,Asian,1255
004488.jpg,98,Asian,23
004505.jpg,99,Asian,10023
004551.jpg,71,Asian,10086
004565.jpg,87,Asian,5549
004601.jpg,100,Asian,6876
004648.jpg,101,Asian,6877
