file,idx,eyeglasses,identity
000001.jpg,0,0,2880
000004.jpg,1,0,5805
000008.jpg,2,0,6369
000044.jpg,3,0,2079
000058.jpg,4,0,2879
000086.jpg,5,0,6145
000096.jpg,6,0,4262
000100.jpg,7,0,6746
000101.jpg,8,0,4988
000106.jpg,9,0,5794
000110.jpg,10,0,4731
000110.jpg,10,0,4731
000150.jpg,11,0,6568
000157.jpg,12,0,5311
000172.jpg,13,0,6844
000179.jpg,14,0,4258
000203.jpg,15,0,1322
000211.jpg,16,0,1817
000212.jpg,17,0,6718
000232.jpg,18,0,3986
000245.jpg,19,0,4686
000253.jpg,20,0,608
000253.jpg,20,0,608
000258.jpg,21,0,5489
000261.jpg,22,0,1204
000263.jpg,23,0,3118
000267.jpg,24,0,6440
000285.jpg,25,0,6394
000329.jpg,26,0,2030
000344.jpg,27,0,975
000364.jpg,28,0,1213
000365.jpg,29,0,2026
000381.jpg,30,0,6023
000404.jpg,0,0,2880
000416.jpg,31,0,3501
000420.jpg,32,0,6858
000442.jpg,33,0,2063
000464.jpg,34,0,3027
000472.jpg,35,0,6361
000475.jpg,36,0,8916
000485.jpg,37,0,1723
000490.jpg,38,0,8820
000502.jpg,39,0,8365
000504.jpg,40,0,2857
000508.jpg,41,0,3356
000536.jpg,42,0,2930
000562.jpg,43,0,2097
000588.jpg,44,0,3129
000589.jpg,45,0,1725
000631.jpg,46,0,5235
000651.jpg,17,0,6718
000678.jpg,47,0,7386
000685.jpg,48,0,8208
000690.jpg,49,0,1862
000703.jpg,50,0,9730
000707.jpg,51,0,5702
000741.jpg,52,0,2887
000747.jpg,53,0,2518
000749.jpg,54,0,1050
000764.jpg,55,0,3195
000781.jpg,56,0,8946
000797.jpg,57,0,3504
000802.jpg,58,0,3788
000805.jpg,59,0,5953
000819.jpg,60,0,8722
000853.jpg,61,0,492
000861.jpg,62,0,6263
000872.jpg,12,0,5311
000890.jpg,63,0,1137
000922.jpg,39,0,8365
000927.jpg,64,0,8825
000984.jpg,65,0,8876
000984.jpg,65,0,8876
000988.jpg,47,0,7386
001005.jpg,66,0,1726
001016.jpg,67,0,8831
001026.jpg,68,0,1793
001030.jpg,69,0,3847
001054.jpg,70,0,8947
001056.jpg,71,0,5729
001062.jpg,57,0,3504
001095.jpg,72,0,4161
001098.jpg,73,0,5086
001102.jpg,74,0,8928
001151.jpg,75,0,6005
001154.jpg,75,0,6005
001173.jpg,76,0,3620
001183.jpg,35,0,6361
001198.jpg,77,0,5321
001222.jpg,20,0,608
001226.jpg,78,0,2236
001229.jpg,79,0,6036
001271.jpg,80,0,2891
001291.jpg,81,0,2331
001294.jpg,25,0,6394
001294.jpg,25,0,6394
001316.jpg,82,0,8089
001332.jpg,83,0,992
001346.jpg,84,0,496
001349.jpg,85,0,3500
001378.jpg,86,0,1034
001379.jpg,87,0,2861
001392.jpg,71,0,5729
001397.jpg,88,0,8932
001410.jpg,89,0,5866
001418.jpg,90,0,5998
001419.jpg,91,0,6439
001421.jpg,65,0,8876
001438.jpg,92,0,1696
001442.jpg,93,0,5145
001459.jpg,89,0,5866
001482.jpg,93,0,5145
001498.jpg,94,0,5715
001507.jpg,95,0,3706
001516.jpg,96,0,7119
001519.jpg,97,0,10087
001553.jpg,98,0,2820
001580.jpg,99,0,1875
001582.jpg,100,0,3542
001584.jpg,101,0,3696
001589.jpg,102,0,6543
001597.jpg,103,0,9150
001600.jpg,104,0,5240
001618.jpg,105,0,7338
001625.jpg,106,0,9987
001625.jpg,106,0,9987
001638.jpg,107,0,2086
001639.jpg,108,0,3181
001658.jpg,109,0,6614
001661.jpg,110,0,6806
001667.jpg,111,0,8803
001670.jpg,112,0,6025
001672.jpg,113,0,6066
001727.jpg,114,0,1585
001734.jpg,115,0,2263
001744.jpg,116,0,3081
001778.jpg,1,0,5805
001786.jpg,117,0,1757
001786.jpg,117,0,1757
001793.jpg,107,0,2086
001811.jpg,118,0,3135
001818.jpg,119,0,6637
001829.jpg,56,0,8946
001830.jpg,120,0,6155
001836.jpg,121,0,7127
001841.jpg,38,0,8820
001870.jpg,81,0,2331
001892.jpg,122,0,433
001905.jpg,123,0,1170
001927.jpg,124,0,1852
001938.jpg,125,0,9079
001953.jpg,126,0,3184
001957.jpg,59,0,5953
001964.jpg,127,0,8964
001970.jpg,128,0,5775
001972.jpg,111,0,8803
001978.jpg,129,0,2813
001988.jpg,130,0,6562
002013.jpg,131,0,6563
002015.jpg,132,0,5765
002021.jpg,133,0,4244
002043.jpg,80,0,2891
002051.jpg,51,0,5702
002086.jpg,40,0,2857
002110.jpg,115,0,2263
002115.jpg,134,0,1092
